,infected_4h_1,infected_4h_2,infected_12h_1,infected_12h_2,infected_24h_1,infected_24h_2,mock_4h_1,mock_4h_2,mock_24h_1,mock_24h_2
AC003669.1,0,0,0,0,0,0,0,0.21,0,0.11
AC003681.1,0.1,0.11,0.08,0.07,0.07,0.08,0.1,0.04,0.1,0.16
AC003682.1,0,0,0,0,0,0,0,0,0,0.17
AC003684.1,0,0.03,0,0,0,0,0,0.02,0,0.03
AC003685.1,0,0,0,0,0,0,0,0,0,0
AC003685.2,0,0,0,0,0,0,0,0,0,0
AC003686.1,0,0,0,0,0,0,0,0,0,0
AC003687.1,0,0,0,0,0,0,0,0,0,0
AC003688.1,0,0,0,0,0,0,0,0,0,0
AC003688.2,0,0,0,0,0,0,0,0,0,0
AC003688.3,0,0,0,0,0,0,0,0,0,0
AC003950.1,0,0,0,0,0,0,0,0,0,0
AC003956.1,0,0,0,0.62,0,0,0,0,0,0
AC003957.1,0,0,0,0.04,0.02,0,0.01,0.02,0.01,0.01
AC003958.1,0,0,0,0,0,0,0,0,0,0
AC003958.2,0.02,0,0,0,0,0,0,0,0,0
AC003965.1,0.23,0.18,0.11,0.09,0,0.8,0.11,0.06,0.09,0.49
AC003965.2,0,0,0,0,0,0,0,0.33,0,0
AC003973.1,0,0,0,0,0,0,0,0,0,0
AC003973.2,0,0,0,0,0,0,0,0,0,0
AC003975.1,0,0,0,0,0,0,0,0,0,0
AC003982.1,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,0,0,0,0,0,0,0,0,0.01
AC003985.1,0,0,0,0,0,0,0,0,0,0
AC003986.1,0,0,0,0,0,0,0,0,0,0
AC003986.2,0.05,0.03,0.03,0,0.03,0.03,0,0.02,0,0.06
AC003986.3,0,0.17,0,0,0,0,0,0,0,0
AC003988.1,0,0,0,0,0,0,0,0,0,0
AC003989.1,0.3,0.47,0.42,0.28,1.5,0.9,0.27,0.24,0.11,0.12
AC003989.2,0,0,0,0,0,0,0,0,0,0
AC003991.1,0.12,0,0,0.11,0.63,0,0.12,0.05,0,0.26
AC003991.2,0.67,0.11,0,0,0,0,0.53,0,1.08,0.96
AC003992.1,0,0,0,0,0,0,0,0.16,0,0
AC004000.1,0.15,0.36,0,0.64,0,0,0.21,0,0.34,0
AC004004.1,0,0,0,0,0,0,0,0,0,0
AC004006.1,0,0,0,0,0,0,0,0,0,0
AC004009.1,0,0,0,0,0.06,0,0,0,0,0
AC004009.2,0,0,0,0,0,0,0,0,0,0
AC004009.3,0,0,0,0,0,0,0,0,0,0
AC004012.1,0,0,0,0,0,0,0,0.09,0.12,0
AC004014.1,0,0,0,0,0,0,0,0,0,0
AC004014.2,0,0,0.01,0,0,0,0,0,0,0
AC004022.1,0,0,0,0.06,0.16,0.19,0.06,0,0,0
AC004022.2,0,0,0,0,0,0,0,0,0,0
AC004023.1,0,0,0,0,0,0,0,0,0.03,0
AC004024.1,0,0,0,0,0,0,0,0,0,0
AC004034.1,0,0,0.16,0,0,0,0,0,0,0.14
AC004039.1,0.31,0.21,0,0,0.08,0,0.09,0.05,0.07,0.21
AC004047.1,0.08,0,0,0,0,0,0,0,0,0
AC004052.1,0,0,0,0,0,0,0,0,0,0
AC004053.1,0,0,0,0,0,0,0,0,0,0
AC004054.1,0,0,0,0,0,0,0,0,0,0
AC004057.1,19.1,17.66,11.27,11.97,10.13,6.32,23.08,20.57,18.43,24.39
AC004062.1,0,0,0,0,0,0,0,0,0,0
AC004063.1,0,0,0,0,0,0,0,0,0,0
AC004066.1,0,0.11,0,0.14,0.25,0,0,0,0,0
AC004067.1,0.14,0.86,0.1,0,0,0.16,0.4,0.29,0.33,0.27
AC004069.1,0.11,0.13,0.15,0,0,0,0.15,0,0,0
AC004069.2,0,0,0,0,0,0.05,0,0,0,0
AC004069.3,0,0,0,0,0,0,0,0,0,0
AC004074.1,0,0,0,0,0,0,0,0,0,0
AC004076.1,0.55,0.15,0.12,0.18,0.36,1.02,0,0.03,0,0.14
AC004076.2,0.2,0.27,0.13,0.05,0.02,0.09,0.08,0.08,0.13,0.16
AC004079.1,0,0,0,0,0,0,0,0,0,0
AC004079.2,0,0,0,0,0,0,0,0,0,0
AC004079.3,0,0,0,0,0,0,0,0,0,0
AC004079.4,0,0,0,0,0,0,0,0,0.76,0
AC004079.5,0,0,0,0,0,0,0,0,0,0
AC004080.1,0,0,0.09,0,0,0,0.09,0,0.07,0
AC004080.10,0,0,0,0,0,0,0.31,0,0,0
AC004080.11,0,0,0,0,0,0,0,0,0,0
AC004080.12,0,0,0,0,0,0,0,0,0,0
AC004080.13,0,0,0,0,0,0,0,0,0,0
AC004080.14,0,0,0,0,0,0,0,0,0,0
AC004080.15,0,0,0,0,0,1.19,0,0,0,0
AC004080.16,0,0,0,0,0,0,0,0,0,0
AC004080.17,0,0,0,0,0,0,0,0,0,0
AC004080.2,0,0.24,0.14,0,0,0,0,0,0.11,0
AC004080.3,0,0,0,0,0,0,0,0,0,0
AC004080.4,0.08,0,0,0,0,0,0,0,0.09,0
AC004080.5,0,0,0,0.04,0.04,0,0,0,0,0
AC004080.6,0,0,0,0,0,0,0,0,0,0.13
AC004080.7,0,0,0,0,0,0,0,0,0,0
AC004080.8,0,0,0,0,0,0,0,0,0,0
AC004080.9,0,0,0,0,0,0,0,0,0,0
AC004083.1,0.12,0.07,0,0,0.03,0,0.08,0.04,0.06,0.11
AC004112.1,0,0,0,0,0,0,0,0,0,0
AC004125.1,0,0,0,0,0,0,0,0,0,0
AC004129.1,0,0,0,0,0,0,0,0,0,0
AC004129.2,0,0,0,0,0,0,0,0,0,0
AC004129.3,0,0,0,0,0,0,0,0,0,0
AC004129.4,0,0,0,0.03,0,0,0,0,0,0
AC004130.1,0,0,0,0,0,0,0,0,0,0
AC004130.2,1.01,0.84,1.4,0.67,2.23,3.39,1.79,1.13,2.06,3.56
AC004134.1,0.76,0,0,0,0,0,0,0.53,0,0
AC004147.1,0,0,0,0,0,0,0,0,0,0
AC004147.2,0,0,0,0,0,0,0,0,0,0
AC004147.3,0,0,0,0,0,0,0,0,0,0
AC004147.4,0,0,0,0,0,0,0,0,0,0
AC004147.5,0,0,0,0,0,0,0,0,0,0
AC004148.1,0.61,0.84,0.29,0.49,0.41,0.4,0.68,0.55,0.68,0.72
AC004156.1,0.02,0.01,0.02,0.02,0,0.03,0.05,0,0.04,0
AC004158.1,0.01,0,0.04,0.29,0.03,0.06,0,0.02,0.04,0.05
AC004160.1,0.52,1,0.16,0.1,0,0,0.55,0.59,0.16,0
AC004160.2,0.2,0,0,0,0,0,0,0,0,0
AC004217.1,0,0.08,0,0,0,0.07,0,0,0.07,0.08
AC004217.2,0,0.06,0,0,0.07,0,0,0,0,0
AC004221.1,0,0,0,0,0,0.06,0,0.05,0.06,0
AC004223.1,0,0,0,0,0,0.48,0,0,0,0.49
AC004223.2,0.1,0,0,0,0,0,0,0,0,0
AC004223.3,0.25,0,0,0,0,0,0.15,0,0,0
AC004223.4,0.26,1.79,0,0,0,0,0,0.39,0.28,0.31
AC004224.1,0.2,0,0,0,0.12,0.11,0,0,0.22,0
AC004224.2,0.34,0,0,0,0.18,0,0,0,0,0
AC004231.1,0.24,0.07,0.08,0.17,0,0,0.25,0.19,0.13,0
AC004231.3,0,0,0,0,0,0,0,0,0,0
AC004232.1,0,0,0.08,0,0,0,0,0.21,0,0
AC004232.2,0.33,0.52,0.31,0.62,0.28,0.13,0.77,0.26,0.86,0.27
AC004233.1,0,0.42,0,0.37,0,0,0.25,0.43,0.4,0.33
AC004233.2,1.32,1.18,0.67,0.39,0.35,0.58,0.91,0.39,0.78,0.74
AC004233.3,0.33,0.19,0.46,0.23,0.2,0.74,0.22,0.13,0.54,0
AC004241.1,0.29,0,0.23,0.78,0,0.5,0,0.24,0.69,0.34
AC004241.2,0,0,0,0,0,0,0,0,0,0.18
AC004241.3,0,0.13,0,0,0.71,0.26,0.16,0.09,0,0
AC004241.4,0,0,0,0,0,0.05,0.17,0,0.05,0.05
AC004241.5,0.02,0.02,0,0,0.02,0.02,0.02,0,0.02,0.02
AC004253.1,0.25,0.29,0.17,0.17,0.16,0.71,0.17,0,0.14,0
AC004253.2,0,0,0,0,0,0,0,0,0,0
AC004257.1,0,0,0,0,0,0,0,0,0,0
AC004263.1,0.15,0.18,0.21,0,0,0,0,0.06,0.51,0
AC004263.2,0.44,0.63,0.17,0.19,0.13,0.19,0.41,0.17,0.57,0.35
AC004264.1,3.71,1.89,2.74,3.02,2.1,1.67,2.56,1.99,1.8,1.84
AC004264.2,0.17,0.09,0.03,0,0,0,0.17,0.02,0.03,0.09
AC004381.1,0,0,0,0,0,0,0,0,0,0
AC004381.2,0,0,0,0,0,0,0,0,0,0
AC004381.3,0,0,0,0,0,0,0,0,0,0
AC004381.4,0,0.04,0.14,0,0,0,0.05,0,0.04,0.09
AC004383.1,0,0,0,0,0,0.4,0,0,0.38,0.84
AC004386.1,0,0,0,0,0,0,0,0,0,0
AC004386.2,0,0,0,0,0,0,0,0,0,0
AC004386.3,0,0,0,0,0,0,0,0,0,0
AC004386.4,0,0,0,0,0,0,0,0,0,0
AC004386.5,0,0,0,0,11.14,0,0,0,0.3,0
AC004386.6,0,0,3.01,1.81,0.16,0.87,1.82,0.27,0,0
AC004386.7,0,0,0,0,0,0,0,0,0,0
AC004408.1,0,0,0,0,0,0,0.14,0,0,0
AC004408.2,0,0,0,0,0,0,0,0,0,0
AC004415.1,0,0,0,0,0,0,0,0,0,0
AC004448.1,0,0,0,0,0,0,0,0,0,0
AC004448.2,0,0,0.08,0,0,0.11,0,0,0,0
AC004448.3,0,0,0,0,0,0,0,0,0,0
AC004448.4,0,0,0,0,0,0,0,0,0,0
AC004448.5,0,0,0,0,0,0,0,0,0,0
AC004449.1,0,0.36,0,0,0,0,0.21,0.12,0,0.19
AC004453.1,2.21,1.99,1.61,1.66,1.48,0.58,3.27,1.2,1.61,1.63
AC004453.2,0,0.02,0,0.03,0,0,0.03,0,0,0.02
AC004461.1,0,0,0,0,0,0,0,0,0,0
AC004461.2,0,0.2,0,0,0,0,0,0,0,0
AC004461.3,0.66,0.36,0.17,0.51,0.31,0.69,0.42,0.29,0.61,0.23
AC004464.1,0,0,0,0,0.07,0,0,0,0,0
AC004466.1,0.3,0.14,0,0.22,0.13,0.13,0.56,0.11,0.21,0.35
AC004466.2,0.23,0,0.16,0.32,0,0,0,0,0.76,0.14
AC004466.3,0.31,0.12,0,0,0.13,0,0.87,0,0.12,0
AC004467.1,0,0,0,0,0,0,0,0,0,0
AC004470.1,0,0,0,0,0,0,0,0,0,0
AC004470.2,0,0,0,0,0,0,0,0,0,0
AC004471.1,0.56,0.67,0.53,0.13,0.12,0.11,0.26,0.23,0.32,0
AC004471.2,0,0,0,0,0,0.03,0,0,0,0.07
AC004477.1,0.6,0.63,0.56,1.06,1.1,0.62,0.59,1.12,0.68,0.53
AC004477.2,0,0,0,0,0,0,0,0,0,0
AC004477.3,0.46,0.76,0.26,0.65,0.23,0.21,0.9,0.3,0.31,0.12
AC004485.1,0,0,0,0,0,0,0,0,0,0
AC004486.1,0,0,0,0,0,0,0,0,0,0
AC004490.1,0.06,0.07,0,0.02,0.02,0.02,0.06,0.04,0.15,0.07
AC004491.1,0.02,0,0.06,0.03,0,0,0.21,0.02,0.02,0
AC004492.1,0.47,0.48,0.28,0.28,0.51,0.15,0.28,0.11,0.6,0.42
AC004494.1,0.07,0.15,0.08,0.04,0.3,0.05,0.16,0.19,0.07,0.05
AC004494.2,0.01,0.09,0,0,0,0,0.16,0.06,0,0
AC004510.1,0,0,0,0,0,0,0,0,0,0
AC004522.1,0,0,0,0,0,0,0,0,0,0
AC004522.2,0,0,0,0,0,0,0,0,0,0
AC004522.3,0,0,0,0,0,0,0,0,0,0
AC004522.4,0,0,0,0,0.19,0,0,0,0,0
AC004522.5,0,0,0,0,0,0,0,0,0,0
AC004522.6,0,0,0,0,0,0,0,0,0,0.2
AC004528.1,0,0,0,0,0,0,0,0,0,0
AC004528.2,0,0,0.07,0,0,0.26,0,0,0,0
AC004540.1,1.86,1.63,1.54,1.99,0.97,0.56,2.74,1.59,1.97,2.34
AC004540.2,0.42,2.11,0.97,0.81,0.69,0.86,1.97,1.52,2.27,2.52
AC004542.1,0.77,0.92,0,1.25,0,0,0,0,0,1.02
AC004542.2,0,0,0,0,0,0,0,0,0,0
AC004542.3,0,2.78,0,0,0,0,0,0,1.82,0
AC004542.4,0,0,0,0,0,0,0,0,0,0
AC004542.5,0,0,0,11.38,0,7.09,4.95,12.59,0,0
AC004542.6,2.61,0,0,0.67,0,0,0.35,0,0,7.65
AC004543.1,0,0,0,0,0,0,0,0,0,0
AC004549.1,0,0,0,0,0.89,0,0.33,0,0,0.29
AC004551.1,0,0,0.13,0,0.12,0,0,0,0,0
AC004552.1,0,0,0,0,0,0,0,0,0,0
AC004554.1,0,0,0,0,0,0,0,0,0,0
AC004554.2,0,0.18,0,0,0,0.02,0,0.04,0.02,0.05
AC004556.1,0,0,0,0,0,0,0,0,0,0
AC004556.2,0,0,0,0,0,0,0,0,0,0
AC004556.3,0,0,0,0,0,0.23,0,0,0,0
AC004556.4,0,0,0,0,0,0,0,0,0,0
AC004562.1,0,0,0,0,0,0,0,0,0,0
AC004584.1,0,0,0,0.29,0,0,0,0,0.23,0
AC004584.2,0.17,0.39,0.24,0,0,0,0,0.13,0,0
AC004584.3,0.02,0,0,0,0,0,0,0,0,0
AC004585.1,0.13,0.38,0.06,0,0,0.05,0.12,0.11,0.08,0
AC004585.2,0,0,0.08,0,0,0,0.04,0.02,0.03,0
AC004590.1,0,0,0,0,0,0,0,0,0,0
AC004593.1,0.05,0.09,0.02,0,0.04,0.04,0.11,0.05,0.05,0.04
AC004593.2,0.33,0.83,0.06,0.06,0.3,0.15,0.55,0.22,0.18,0.23
AC004594.1,0,0.14,0.55,0.17,0.32,0,0.27,0.09,0,0.1
AC004596.1,0.33,0.77,0.46,0.15,0,0.5,0.3,0.87,0.37,0.41
AC004597.1,0,0,0.28,0,0.25,0,0.14,0,0,0
AC004623.1,0.13,0.31,0.05,0.05,0.06,0.18,0.35,0.13,0.46,0.18
AC004637.1,0,0,0,0,0,0,0,0,0,0
AC004664.1,0,0,0,0,0,0,0,0,0,0
AC004672.1,0,0.05,0.03,0,0.07,0,0,0,0,0
AC004672.2,0,0,0,0,0,0,0,0,0,0
AC004674.1,0,0,0,0,0,0,0,0,0,0
AC004674.2,0,0,0,0,0,0,0,0,0,0
AC004678.1,0.1,0.47,0,0.07,0,0.06,0.07,0,0,0.13
AC004678.2,0.05,0,0.06,0,0,0,0,0,0,0
AC004687.1,0.03,0,0,0,0,0,0,0.02,0,0.1
AC004687.2,0,0,0,0,0,0.11,0.1,0,0,0.03
AC004687.3,0,0.01,0,0,0,0,0,0,0,0
AC004690.1,0,0,0,0,0,0,0,0,0,0
AC004690.2,0,0,0,0,0,0,0.03,0,0,0
AC004691.1,0.1,0.73,0,0.29,0,0,0.58,0,0,0.13
AC004691.2,0,0,0,0,0,0,0,0,0,0
AC004692.1,0,0,0,0,0,0,0,0,0,0
AC004692.2,0,0,0,0,0,0,0,0,0,0
AC004696.1,0,0,0,0,0,0,0,0,0,0
AC004696.2,0,0,0,0,0,0,0,0,0,0
AC004702.1,0,0,0,0,0,0,0,0,0,0
AC004704.1,0,0,0,0,0,0,0,0,0,0
AC004706.1,0.32,0.32,0,0.15,0,0.06,0,0,0.06,0.13
AC004706.2,0,0,0,0,0,0,0,0,0,0
AC004706.3,0.18,0.28,0.13,0.05,0.01,0.09,0.28,0.03,0.14,0.14
AC004707.1,0,0,0,0,0,0,0,0,0,0
AC004707.2,0.25,0.39,0,0.13,0.69,0.21,0.24,0.14,0.19,0.34
AC004765.1,0,0,0.11,0,0,0.09,0.11,0.06,0,0.24
AC004771.1,0,0,0,0,0,0,0,0,0,0.18
AC004771.2,0.92,0.85,0.43,0.58,0.65,0.35,0.71,0.33,0.46,0.51
AC004771.3,0,0,0.01,0,0,0,0.28,0.32,0,0
AC004771.4,0.1,0.51,0,0,0,0,0,0,0,0
AC004774.1,0,0,0,0,0,0,0,0,0,0
AC004774.2,0,0,0,0,0,0,0,0,0,0
AC004774.3,0,0,0,0,0,0,0,0,0,0
AC004775.1,0,0,0,0,0,0,0,0,0,0
AC004777.1,0,0,0,0,0,0,0,0,0,0
AC004784.1,0,0,0,0,0,0,0,0.02,0,0
AC004788.1,0,0,0,0,0,0,0,0,0,0
AC004790.1,0,0,0,0,0,0,0,0,0,0
AC004790.2,0,0,0,0,0,0,0,0,0,0
AC004792.1,0,0,0,0,0,0,0,0,0,0
AC004797.1,0,0.05,0.05,0.05,0.08,0,0,0,0,0.07
AC004801.1,0,0,0,0,0,0,0,0,0,0
AC004801.2,0.35,0.22,0.53,0.52,0.46,0.21,0,0.28,0.07,0
AC004801.3,0,0,0,0,0,0,0,0.04,0,0
AC004801.4,0,0,0,0,0,0,0,0,0,0
AC004801.5,0,0,0,0,0,0,0,0,0,0
AC004801.6,0.14,0.17,0,0.13,0.06,0.11,0.2,0.11,0.27,0.06
AC004801.7,0,0,0,0,0,0,0,0,0,0
AC004803.1,0.44,0.44,0.03,0.2,0.32,0.01,0.25,0.18,0.39,0.41
AC004805.1,0,0,0,0.04,0,0,0,0,0,0
AC004805.2,0,0,0,0,0,0,0,0.1,0,0
AC004805.3,0,0,0,0,0,0,0,0,0,0
AC004808.1,0,0.08,0,0,0,0,0,0,0,0
AC004808.2,0,0,0,0,0,0,0,0,0.07,0.08
AC004812.1,0,0,0,0,0,0,0,0,0,0
AC004812.2,0.72,0.29,0.32,0.32,0.33,0.14,0.95,0.53,0.79,0.76
AC004815.1,0,0,0,0,0,0,0,0,0,0
AC004816.1,1.39,1.8,0.85,0.29,0.45,0.83,2.6,1.29,2.69,2.55
AC004816.2,0.38,0,0,0,0,0,0,0,0,0
AC004817.1,0,0,0,0,0,0,0,0,0,0
AC004817.2,0,0,0,0,0,0,0,0,0,0
AC004817.3,0,0,0,0,0,0.02,0,0,0,0
AC004817.4,0,0,0,0,0.01,0.01,0,0,0,0
AC004817.5,0,0,0,0,0.05,0,0,0,0,0.02
AC004825.1,0,0,0,0,0,0,0,0,0,0
AC004825.2,0.14,0,0,0.2,0.18,0.63,0,0.11,0,0.17
AC004825.3,0.08,0.04,0.02,0.17,0.01,0.06,0.07,0.07,0.02,0.03
AC004828.1,0,0,0,0,0,0,0,0,0,0
AC004828.2,0,0,0,0,0,0,0,0,0,0
AC004830.1,0,0,0,0,0,0,0,0,0,0
AC004830.2,0.06,0.08,0.09,0,0,0.22,0.09,0.05,0.07,0.08
AC004832.1,0,0,0,0,0.08,0.06,0.08,0.04,0,0.14
AC004832.2,0,0,0,0,0,0,0,0,0,0
AC004832.3,0,0.17,0.05,0,0,0,0,0.14,0.2,0
AC004832.4,0.52,0.9,1.09,0.72,0,0.29,1.41,0,0.56,1.56
AC004832.5,0.18,1.03,0.49,1.23,0.22,0.2,1.21,0.27,0.58,1.71
AC004832.6,0.15,0,0,0,0,0,0,0,0,0
AC004834.1,0.14,0.03,0.17,0,0.24,0,0.28,0.05,0.35,0.19
AC004835.1,0.01,0,0.02,0,0,0.02,0,0.01,0,0
AC004835.2,0,0,0,0,0,0,0,0,0,0
AC004836.1,0,0,0,0,0,0,0,0,0,0
AC004837.1,0,0,0,0.14,0,0.34,0.14,0,0,0
AC004837.2,0.27,0.16,0.29,0.19,0,0.23,0.29,0.17,0,0.09
AC004837.3,0,0,0,0,0,0,0,0.08,0,0
AC004837.4,0.31,0.28,0.16,0.39,0.5,0.54,0.77,0.35,0.49,0.55
AC004839.1,0,0,0,0,0,0,0,0,0,0
AC004839.2,0.12,0,0,0.33,0,0.27,0.16,0.09,0,0
AC004840.1,0.09,0.1,0.12,0,0,0,0.25,0.14,0.1,0.22
AC004840.2,0,0.42,0,0,0,0,2.5,0,0,0
AC004846.1,0,0.02,0,0,0.02,0.01,0,0.01,0,0
AC004846.2,0.44,0.17,0,0,0.16,0.07,0.53,0.31,0.26,0.16
AC004847.1,0,0,0,0,0,0,0,0.05,0,0
AC004849.1,0,0,0,0,0,0,0,0,0,0
AC004852.1,0,0,0,0,0,0,0,0,0,0
AC004852.2,0,0,0,0,0,0,0.05,0,0,0.05
AC004852.3,0,0,0,0,0,0,0.37,0,0,0
AC004854.1,0,0,0,0,0,0,0,0,0,0
AC004854.2,0.22,0.41,0.46,0.85,0.53,0.39,0.35,0.38,0.47,0.39
AC004858.1,0,0,0,0,0,0,0,0,0,0
AC004862.1,0,0,0,0.21,0,0,0,0,0,0
AC004863.1,0,0,0,0,0.1,0,0,0,0,0
AC004865.1,0,0,0,0,0,0,0,0,0,0
AC004865.2,0,0,0,0.08,0.07,0.06,0,0,0,0.14
AC004866.1,0,0,0,0,0,0,0,0,0,0
AC004866.2,0,0,0,0,0,0,0,0,0,0
AC004869.1,0,0,0,0,0,0,0,0,0,0
AC004869.2,0,0,0,0,0,0,0,0,0,0
AC004870.1,0,0,0,0,0,0,0,0,0,0
AC004870.2,1.32,1.61,0.26,0.68,0.29,0.16,2,0.99,2.6,3.08
AC004870.3,0,0,0,0,0,0,0,0,0,0
AC004870.4,0,0,0,0,0,0,0,0,0,0
AC004875.1,0,0,0,0,0,0,0,0,0,0
AC004877.1,0.05,0.08,0.02,0.05,0,0,0.05,0,0.05,0.14
AC004877.2,0.18,0.21,0.51,0.13,0.11,0.41,0.25,0.07,0.2,0.45
AC004879.1,0,0,0,0,0,0,0,0,0,0
AC004879.2,0,0,0,0,0,0,0,0,0,0
AC004882.1,0,0,0,0,0,0,0,0,0,0
AC004882.2,0,0,0,0.13,0,0.11,0,0,0,0
AC004882.3,0,0,0,0,0,0,0,0,0,0
AC004882.4,0.24,0.91,0.47,0.75,0.1,0.27,0.79,0.26,0.09,0.2
AC004884.1,0,0,0,0,0,0,0,0.64,0,0
AC004884.2,0,0,0.15,0,0,0,0.14,0.17,0,0
AC004888.1,0,0,0,0,0,0,0,0,0,0
AC004890.1,0,0,0,0,0,0,0,0,0,0
AC004890.2,0.6,0.44,0.06,0.05,0.27,0.02,0.4,0.3,0.68,0.61
AC004890.3,0.36,0.24,0.11,0.06,0.05,0,0.86,0.17,0.14,0.15
AC004893.1,0,0,0,0,0,0,0,0,0,0
AC004893.2,0.12,0.16,0.04,0.07,0.1,0.06,0.08,0.09,0.08,0.07
AC004895.1,0.06,0,0,0.09,0.31,0.14,0.08,0.1,0.57,0.23
AC004898.1,0.26,0.61,0.27,0.36,0.33,0.29,0.27,0.36,0.15,0.19
AC004899.1,0,0,0,0,0,0,0,0,0,0
AC004899.2,0,0,0,0,0,0.01,0,0,0,0
AC004900.1,0,0,0,0,0,0.07,0.08,0,0,0
AC004908.1,0.4,0.5,0,0,0,0.12,0,0.25,0,0.2
AC004908.2,0.1,0.3,0,0,0,0.22,0,0,0.76,0.12
AC004908.3,0,0,0,0,0,0.1,0,0,0,0.11
AC004909.1,0,0,0,0,0,0,0,0,0,0
AC004910.1,0,0,0,0,0,0,0.09,0,0,0
AC004911.1,0,0,0,0,0,0,0,0,0,0
AC004912.1,0,0,0,0,0,0,0,0,0,0
AC004917.1,0,0,0,0,0,0,0,0,0.07,0
AC004918.1,0.81,0.84,0.71,0.24,0.02,0.24,0.91,0.36,0.17,0.85
AC004918.5,1,1.37,0.21,0.57,0.32,0.74,1.12,0.2,0.97,1.14
AC004920.1,0,0,0,0,0,0,0,0,0,0
AC004921.1,0,0,0,0,0,0,0,0,0,0
AC004921.2,0,0,0,0,0,0,0,0,0,0
AC004922.1,0,0.13,0.07,0.41,0,0,0,0,0.65,0.3
AC004923.1,0,0,0,2.47,0,0,0,0.05,0.07,0
AC004923.2,0,0,0,0,0,0,0,0,0,0
AC004923.3,0,0,0,0,0,0,0,0,0,0
AC004923.4,0.07,0.16,0.09,0.19,0,0.08,0.09,0.05,0.53,0.17
AC004925.1,0,0.05,0,0.04,0,0,0.02,0.02,0.02,0.02
AC004930.1,0,0,0,0,0,0,0,0,0,0
AC004936.1,0,0,0,0,0,0,0,0,0,0
AC004938.1,0,0,0,0,0,0,0,0,0,0
AC004938.2,0.26,0.63,0.05,0.27,0.05,0.3,0.27,0.16,0.13,0.39
AC004941.1,0,0,0,0,0,0,0.04,0,0,0.02
AC004941.2,0,0,0,0,0,0,0,0,0,0
AC004943.1,0.85,0.52,0.26,0.24,0.11,0.05,0.45,0,0.96,0.31
AC004943.2,0.72,0.81,0.77,0.82,0.5,0.5,0.93,0.54,1.4,1.51
AC004943.3,0,0.21,0.13,0.13,0,0.1,0,0,0,0.11
AC004944.1,0,0,0,0,0.02,0,0,0,0,0
AC004945.1,0.05,0,0,0,0,0,0,0,0,0
AC004946.1,0,0,0,0,0,0,0,0.06,0,0
AC004946.2,0,0,0,0,0,0,0,0,0,0
AC004947.1,0.27,0.18,0.13,0.12,0.11,0.34,0.17,0.15,0.23,0.78
AC004947.2,0.03,0.02,0,0,0,0,0.04,0,0.02,0.02
AC004947.3,0,0,0,0,0,0,0,0.07,0,0
AC004948.1,0.08,0,0,0,0,0,0,0,0,0
AC004949.1,0,0,0,0,0,0,0,0,0,0
AC004951.1,1.76,1.65,0.68,0.81,0.74,0.78,1.94,0.76,1.41,1.48
AC004951.2,0.39,0.77,0.84,0.54,0.37,0.79,0.39,0.65,1.06,1.18
AC004951.3,0.05,0.07,0,0,0,0,0,0,0,0
AC004951.4,0.26,0.39,0.11,0.07,0.18,0.18,0.34,0.15,0.26,0.09
AC004965.1,0,0,0,0,0,0,0,0,0,0
AC004966.1,0,0,0,0,0,0,0,0,0,0
AC004967.1,0.43,0.17,0,0.2,0,0.33,0.2,0.23,0,0.18
AC004967.2,0.43,0.62,0.45,0.17,0.1,0.39,0.93,0.63,0.67,0.47
AC004969.1,0,0,0,0,0,0,0,0.08,0,0
AC004972.1,0,0,0,0.05,0.02,0,0,0,0,0
AC004973.1,0,0,0,0,0,0,0,0,0,0
AC004974.1,0.03,0,0,0,0,0.15,0,0,0.26,0
AC004975.1,0,0,0,0,0,0,0,0,0,0
AC004975.2,0.1,0,0,0.28,0,0,0,0.16,0.11,0
AC004980.1,1.31,1.5,0.5,3.23,0.55,0.72,2.02,1.52,2.87,1.11
AC004980.2,0.12,0.4,0,0,0.18,0,0.37,0.12,0.3,0
AC004980.3,0.21,0,0.59,0,0,0.48,0,0,0,0
AC004980.4,0,0,0,0,0,0,0,0,0,0
AC004980.5,0,0,0,0,0,0,0,0,0,0
AC004982.1,0.2,0.21,0.18,0.14,0.19,0.26,0.25,0.1,0.11,0.16
AC004982.2,0.32,2.59,0.11,1.78,0.61,0.52,0.63,0.26,0.76,0.94
AC004986.1,0,0,0,0,0.11,0.1,0,0,0.1,0.11
AC004987.1,0,0,0,0,0,0,0,0,0,0
AC004987.2,0,0,0,0,0,0,0,0,0,0
AC004987.3,0,0,0,0,0,0,0,0,0,0
AC004988.1,0,0.06,0.13,0.07,0.06,0,0.07,0.02,0.08,0
AC004990.1,0.08,0.14,0.03,0.28,0,0,0.34,0.24,0.69,0.25
AC004997.1,0.15,0,0,0.17,0.39,0,0,0.16,0,0.01
AC005000.1,3.4,0,0,0,0,0,2.74,0,0,2.51
AC005000.2,0,0.35,0,0,0,0,0.82,0.23,0,0
AC005002.1,0,0,0,0,0,0,0,0,0,0
AC005002.2,0,0,0,0,0,0,0,0,0,0
AC005005.1,0,0,0,0,0,0,0,0,0,0
AC005005.2,0,0,0,0,0,0,0,0,0,0
AC005005.3,0.78,0.59,0.25,0.26,0.23,0.31,0.85,0.47,1.05,0.46
AC005005.4,0.02,0,0.01,0,0.01,0.02,0.01,0.01,0,0
AC005006.1,0,0,0,0,0,0,0,0,0,0
